item_original,nome,cor,status,cores_encontradas_no_site
MACAQUINHO ANGELA - VANILLA,MACAQUINHO ANGELA,VANILLA,DISPONIVEL,"BLUES, JAZZ, MARINHO, SAMBA, VALSA, VANILLA"
MACAQUINHO ANGELA - JAZZ,MACAQUINHO ANGELA,JAZZ,DISPONIVEL,"BLUES, JAZZ, MARINHO, SAMBA, VALSA, VANILLA"
MACAQUINHO ANGELA - VALSA,MACAQUINHO ANGELA,VALSA,DISPONIVEL,"BLUES, JAZZ, MARINHO, SAMBA, VALSA, VANILLA"
MACAQUINHO ANGELA - SAMBA,MACAQUINHO ANGELA,SAMBA,DISPONIVEL,"BLUES, JAZZ, MARINHO, SAMBA, VALSA, VANILLA"
MACAQUINHO ANGELA - BLUES,MACAQUINHO ANGELA,BLUES,DISPONIVEL,"BLUES, JAZZ, MARINHO, SAMBA, VALSA, VANILLA"
REGATA JANAINA - VANILLA,REGATA JANAINA,VANILLA,COR_NAO_ENCONTRADA,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA"
REGATA JANAINA - PRETO,REGATA JANAINA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA"
REGATA JANAINA - BLUES,REGATA JANAINA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA"
REGATA JANAINA - BOSSA,REGATA JANAINA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA"
REGATA JANAINA - JAZZ,REGATA JANAINA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA"
REGATA JANAINA - VALSA,REGATA JANAINA,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA"
REGATA JANAINA - SAMBA,REGATA JANAINA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA"
TOP CRISTINA - PRETO,TOP CRISTINA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA"
TOP CRISTINA - BLUES,TOP CRISTINA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA"
TOP CRISTINA - BOSSA,TOP CRISTINA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA"
TOP CRISTINA - JAZZ,TOP CRISTINA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA"
TOP CRISTINA - SAMBA,TOP CRISTINA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA"
MACACÃO EVERLY - MARINHO,MACACÃO EVERLY,MARINHO,PRODUTO_NAO_ENCONTRADO,
TOP JULIA - VANILLA,TOP JULIA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP JULIA - PRETO,TOP JULIA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP JULIA - BLUES,TOP JULIA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP JULIA - BOSSA,TOP JULIA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP JULIA - JAZZ,TOP JULIA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP JULIA - VALSA,TOP JULIA,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP JULIA - SAMBA,TOP JULIA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP TANIA - PRETO,TOP TANIA,PRETO,DISPONIVEL,"BLUES, JAZZ, PRETO"
TOP TANIA - BLUES,TOP TANIA,BLUES,DISPONIVEL,"BLUES, JAZZ, PRETO"
TOP TANIA - JAZZ,TOP TANIA,JAZZ,DISPONIVEL,"BLUES, JAZZ, PRETO"
TOP MIRNA - VANILLA,TOP MIRNA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP MIRNA - PRETO,TOP MIRNA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP MIRNA - BLUES,TOP MIRNA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP MIRNA - BOSSA,TOP MIRNA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP MIRNA - JAZZ,TOP MIRNA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP MIRNA - VALSA,TOP MIRNA,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP MIRNA - SAMBA,TOP MIRNA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP DEBORA - VALSA,TOP DEBORA,VALSA,DISPONIVEL,"JAZZ, VALSA"
TOP DEBORA - JAZZ,TOP DEBORA,JAZZ,DISPONIVEL,"JAZZ, VALSA"
TOP SIENA - MARINHO,TOP SIENA,MARINHO,DISPONIVEL,MARINHO
CALÇA ELAINE - VANILLA,CALÇA ELAINE,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA ELAINE - PRETO,CALÇA ELAINE,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA ELAINE - BLUES,CALÇA ELAINE,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA ELAINE - BOSSA,CALÇA ELAINE,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA ELAINE - JAZZ,CALÇA ELAINE,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA ELAINE - VALSA,CALÇA ELAINE,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA ELAINE - SAMBA,CALÇA ELAINE,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA TANIA - VANILLA,CALÇA TANIA,VANILLA,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
CALÇA TANIA - CARAMELO,CALÇA TANIA,CARAMELO,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
CALÇA TANIA - JAZZ,CALÇA TANIA,JAZZ,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
CALÇA CAROLINA - VANILLA,CALÇA CAROLINA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA CAROLINA - PRETO,CALÇA CAROLINA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA CAROLINA - BLUES,CALÇA CAROLINA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA CAROLINA - BOSSA,CALÇA CAROLINA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA CAROLINA - JAZZ,CALÇA CAROLINA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA CAROLINA - VALSA,CALÇA CAROLINA,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA CAROLINA - SAMBA,CALÇA CAROLINA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO GIULIA - VALSA,VESTIDO GIULIA,VALSA,DISPONIVEL,"JAZZ, VALSA"
VESTIDO GIULIA - JAZZ,VESTIDO GIULIA,JAZZ,DISPONIVEL,"JAZZ, VALSA"
SHORT JESSICA - PRETO,SHORT JESSICA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO"
SHORT JESSICA - BLUES,SHORT JESSICA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO"
SHORT JESSICA - BOSSA,SHORT JESSICA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO"
SHORT JESSICA - JAZZ,SHORT JESSICA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO"
BLAZER GLENDA - VANILLA,BLAZER GLENDA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
BLAZER GLENDA - PRETO,BLAZER GLENDA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
BLAZER GLENDA - BLUES,BLAZER GLENDA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
BLAZER GLENDA - BOSSA,BLAZER GLENDA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
BLAZER GLENDA - JAZZ,BLAZER GLENDA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
BLAZER GLENDA - VALSA,BLAZER GLENDA,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
BLAZER GLENDA - SAMBA,BLAZER GLENDA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
BLAZER JUDITE - PRETO,BLAZER JUDITE,PRETO,DISPONIVEL,"PRETO, VANILLA"
BLAZER JUDITE - VANILLA,BLAZER JUDITE,VANILLA,DISPONIVEL,"PRETO, VANILLA"
SHORT RAFAELA - VANILLA,SHORT RAFAELA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT RAFAELA - PRETO,SHORT RAFAELA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT RAFAELA - BLUES,SHORT RAFAELA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT RAFAELA - BOSSA,SHORT RAFAELA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT RAFAELA - JAZZ,SHORT RAFAELA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT RAFAELA - VALSA,SHORT RAFAELA,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT RAFAELA - SAMBA,SHORT RAFAELA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO LIDIANE - MARINHO,VESTIDO LIDIANE,MARINHO,DISPONIVEL,"BLUES, JAZZ, MARINHO, SAMBA, VALSA, VANILLA"
VESTIDO LIDIANE - VANILLA,VESTIDO LIDIANE,VANILLA,DISPONIVEL,"BLUES, JAZZ, MARINHO, SAMBA, VALSA, VANILLA"
VESTIDO LIDIANE - JAZZ,VESTIDO LIDIANE,JAZZ,DISPONIVEL,"BLUES, JAZZ, MARINHO, SAMBA, VALSA, VANILLA"
VESTIDO LIDIANE - VALSA,VESTIDO LIDIANE,VALSA,DISPONIVEL,"BLUES, JAZZ, MARINHO, SAMBA, VALSA, VANILLA"
VESTIDO LIDIANE - SAMBA,VESTIDO LIDIANE,SAMBA,DISPONIVEL,"BLUES, JAZZ, MARINHO, SAMBA, VALSA, VANILLA"
VESTIDO LIDIANE - BLUES,VESTIDO LIDIANE,BLUES,DISPONIVEL,"BLUES, JAZZ, MARINHO, SAMBA, VALSA, VANILLA"
TOP JESSICA - VANILLA,TOP JESSICA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP JESSICA - PRETO,TOP JESSICA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP JESSICA - BLUES,TOP JESSICA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP JESSICA - BOSSA,TOP JESSICA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP JESSICA - JAZZ,TOP JESSICA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP JESSICA - VALSA,TOP JESSICA,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP JESSICA - SAMBA,TOP JESSICA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP LUISA - VANILLA,TOP LUISA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP LUISA - PRETO,TOP LUISA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP LUISA - BLUES,TOP LUISA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP LUISA - BOSSA,TOP LUISA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP LUISA - JAZZ,TOP LUISA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP LUISA - VALSA,TOP LUISA,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP LUISA - SAMBA,TOP LUISA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP AMALIA - VANILLA,TOP AMALIA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP AMALIA - PRETO,TOP AMALIA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP AMALIA - BLUES,TOP AMALIA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP AMALIA - BOSSA,TOP AMALIA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP AMALIA - JAZZ,TOP AMALIA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP AMALIA - VALSA,TOP AMALIA,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP AMALIA - SAMBA,TOP AMALIA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP MICHELE - VANILLA,TOP MICHELE,VANILLA,DISPONIVEL,"JAZZ, PRETO, SAMBA, VANILLA"
TOP MICHELE - PRETO,TOP MICHELE,PRETO,DISPONIVEL,"JAZZ, PRETO, SAMBA, VANILLA"
TOP MICHELE - JAZZ,TOP MICHELE,JAZZ,DISPONIVEL,"JAZZ, PRETO, SAMBA, VANILLA"
TOP MICHELE - SAMBA,TOP MICHELE,SAMBA,DISPONIVEL,"JAZZ, PRETO, SAMBA, VANILLA"
CASACO JUSSARA - CARAMELO,CASACO JUSSARA,CARAMELO,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
CASACO JUSSARA - VANILLA,CASACO JUSSARA,VANILLA,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
CASACO JUSSARA - JAZZ,CASACO JUSSARA,JAZZ,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
VESTIDO AMY - VANILLA,VESTIDO AMY,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO AMY - PRETO,VESTIDO AMY,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO AMY - BLUES,VESTIDO AMY,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO AMY - BOSSA,VESTIDO AMY,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO AMY - JAZZ,VESTIDO AMY,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO AMY - VALSA,VESTIDO AMY,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO AMY - SAMBA,VESTIDO AMY,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO AMARA - VANILLA,VESTIDO AMARA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO AMARA - PRETO,VESTIDO AMARA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO AMARA - BLUES,VESTIDO AMARA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO AMARA - BOSSA,VESTIDO AMARA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO AMARA - JAZZ,VESTIDO AMARA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO AMARA - VALSA,VESTIDO AMARA,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO AMARA - SAMBA,VESTIDO AMARA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT ISABELE - VANILLA,SHORT ISABELE,VANILLA,COR_NAO_ENCONTRADA,VANILA
SHORT SIENA - MARINHO,SHORT SIENA,MARINHO,DISPONIVEL,MARINHO
SHORT MONICA - VANILLA,SHORT MONICA,VANILLA,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
SHORT MONICA - CARAMELO,SHORT MONICA,CARAMELO,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
SHORT MONICA - JAZZ,SHORT MONICA,JAZZ,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
SHORT ANGELA - MARINHO,SHORT ANGELA,MARINHO,DISPONIVEL,"BLUES, BOSSA, JAZZ, MARINHO, MARITIMO, SAMBA, VANILLA"
SHORT ANGELA - VANILLA,SHORT ANGELA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, MARINHO, MARITIMO, SAMBA, VANILLA"
SHORT ANGELA - JAZZ,SHORT ANGELA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, MARINHO, MARITIMO, SAMBA, VANILLA"
SHORT ANGELA - BOSSA,SHORT ANGELA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, MARINHO, MARITIMO, SAMBA, VANILLA"
SHORT ANGELA - SAMBA,SHORT ANGELA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, MARINHO, MARITIMO, SAMBA, VANILLA"
SHORT ANGELA - BLUES,SHORT ANGELA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, MARINHO, MARITIMO, SAMBA, VANILLA"
CALÇA SORAIA - VANILLA,CALÇA SORAIA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA SORAIA - PRETO,CALÇA SORAIA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA SORAIA - BLUES,CALÇA SORAIA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA SORAIA - BOSSA,CALÇA SORAIA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA SORAIA - JAZZ,CALÇA SORAIA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA SORAIA - VALSA,CALÇA SORAIA,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA SORAIA - SAMBA,CALÇA SORAIA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
MACACÃO CAROL - PRETO,MACACÃO CAROL,PRETO,PRODUTO_NAO_ENCONTRADO,
MACACÃO CAROL - BLUES,MACACÃO CAROL,BLUES,PRODUTO_NAO_ENCONTRADO,
MACACÃO CAROL - JAZZ,MACACÃO CAROL,JAZZ,PRODUTO_NAO_ENCONTRADO,
MACACÃO CAROL - VALSA,MACACÃO CAROL,VALSA,PRODUTO_NAO_ENCONTRADO,
TOP MIRANDA - VANILLA,TOP MIRANDA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP MIRANDA - PRETO,TOP MIRANDA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP MIRANDA - BLUES,TOP MIRANDA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP MIRANDA - BOSSA,TOP MIRANDA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP MIRANDA - JAZZ,TOP MIRANDA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP MIRANDA - VALSA,TOP MIRANDA,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP MIRANDA - SAMBA,TOP MIRANDA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO SOPHIA - VANILLA,VESTIDO SOPHIA,VANILLA,DISPONIVEL,"BOSSA, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO SOPHIA - PRETO,VESTIDO SOPHIA,PRETO,DISPONIVEL,"BOSSA, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO SOPHIA - BOSSA,VESTIDO SOPHIA,BOSSA,DISPONIVEL,"BOSSA, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO SOPHIA - VALSA,VESTIDO SOPHIA,VALSA,DISPONIVEL,"BOSSA, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO SOPHIA - SAMBA,VESTIDO SOPHIA,SAMBA,DISPONIVEL,"BOSSA, PRETO, SAMBA, VALSA, VANILLA"
BLAZER DALIA - VALSA,BLAZER DALIA,VALSA,DISPONIVEL,"JAZZ, VALSA"
BLAZER DALIA - JAZZ,BLAZER DALIA,JAZZ,DISPONIVEL,"JAZZ, VALSA"
CALÇA DALIA - VALSA,CALÇA DALIA,VALSA,DISPONIVEL,"JAZZ, VALSA"
CALÇA DALIA - JAZZ,CALÇA DALIA,JAZZ,DISPONIVEL,"JAZZ, VALSA"
CALÇA TATIANA - VANILLA/VALSA,CALÇA TATIANA,VANILLA/VALSA,DISPONIVEL,VANILLA/VALSA
CAMISA KIARA - MARINHO,CAMISA KIARA,MARINHO,DISPONIVEL,"BLUES, JAZZ, MARINHO, SAMBA, VALSA, VANILLA"
CAMISA KIARA - VANILLA,CAMISA KIARA,VANILLA,DISPONIVEL,"BLUES, JAZZ, MARINHO, SAMBA, VALSA, VANILLA"
CAMISA KIARA - JAZZ,CAMISA KIARA,JAZZ,DISPONIVEL,"BLUES, JAZZ, MARINHO, SAMBA, VALSA, VANILLA"
CAMISA KIARA - VALSA,CAMISA KIARA,VALSA,DISPONIVEL,"BLUES, JAZZ, MARINHO, SAMBA, VALSA, VANILLA"
CAMISA KIARA - BLUES,CAMISA KIARA,BLUES,DISPONIVEL,"BLUES, JAZZ, MARINHO, SAMBA, VALSA, VANILLA"
CAMISA DENISE - VANILLA/VALSA,CAMISA DENISE,VANILLA/VALSA,DISPONIVEL,VANILLA/VALSA
CALÇA ELIANA - CARAMELO,CALÇA ELIANA,CARAMELO,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
CALÇA ELIANA - VANILLA,CALÇA ELIANA,VANILLA,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
CALÇA ELIANA - JAZZ,CALÇA ELIANA,JAZZ,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
SHORT ALICIA - JAZZ,SHORT ALICIA,JAZZ,DISPONIVEL,"JAZZ, VALSA"
SHORT ALICIA - VALSA,SHORT ALICIA,VALSA,DISPONIVEL,"JAZZ, VALSA"
CALÇA HELOISE - POA,CALÇA HELOISE,POA,DISPONIVEL,POA
CALÇA MAITE - GRAFITE,CALÇA MAITE,GRAFITE,DISPONIVEL,GRAFITE
VESTIDO RUBIA - BOSSA,VESTIDO RUBIA,BOSSA,DISPONIVEL,BOSSA
BLAZER MARIA - GRAFITE,BLAZER MARIA,GRAFITE,DISPONIVEL,GRAFITE
SHORT SORAIA - VANILLA,SHORT SORAIA,VANILLA,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT SORAIA - PRETO,SHORT SORAIA,PRETO,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT SORAIA - BLUES,SHORT SORAIA,BLUES,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT SORAIA - JAZZ,SHORT SORAIA,JAZZ,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT SORAIA - VALSA,SHORT SORAIA,VALSA,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT SORAIA - SAMBA,SHORT SORAIA,SAMBA,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CAMISA MARILDA - MARINHO,CAMISA MARILDA,MARINHO,DISPONIVEL,"BLUES, BOSSA, JAZZ, MARINHO, MARITIMO, SAMBA, VANILLA"
CAMISA MARILDA - VANILLA,CAMISA MARILDA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, MARINHO, MARITIMO, SAMBA, VANILLA"
CAMISA MARILDA - SAMBA,CAMISA MARILDA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, MARINHO, MARITIMO, SAMBA, VANILLA"
